id,price,qty,timestamp
404,54.21,6,2024-01-01 06:44:00
5221,46.79,4,2024-01-04 15:01:00
3357,58.16,2,2024-01-03 07:57:00
7336,17.49,6,2024-01-06 02:16:00
8313,57.58,4,2024-01-06 18:33:00
7716,36.1,5,2024-01-06 08:36:00
5943,53.14,2,2024-01-05 03:03:00
14689,50.29,7,2024-01-11 04:49:00
100,43.91,9,2024-01-01 01:40:00
11414,54.04,5,2024-01-08 22:14:00
5017,45.09,5,2024-01-04 11:37:00
8581,87.75,6,2024-01-06 23:01:00
4701,22.21,4,2024-01-04 06:21:00
8548,48.33,9,2024-01-06 22:28:00
154,42.49,6,2024-01-01 02:34:00
3271,,5,2024-01-03 06:31:00
11982,65.3,9,2024-01-09 07:42:00
5448,63.88,9,2024-01-04 18:48:00
1458,29.36,3,2024-01-02 00:18:00
4154,38.89,9,2024-01-03 21:14:00
11240,77.41,9,2024-01-08 19:20:00
13065,69.0,1,2024-01-10 01:45:00
4970,44.73,3,2024-01-04 10:50:00
14042,22.67,6,2024-01-10 18:02:00
11073,45.89,3,2024-01-08 16:33:00
6639,50.2,1,2024-01-05 14:39:00
6442,35.37,3,2024-01-05 11:22:00
5655,51.5,3,2024-01-04 22:15:00
12229,52.38,9,2024-01-09 11:49:00
378,26.59,9,2024-01-01 06:18:00
5463,64.56,2,2024-01-04 19:03:00
6094,,1,2024-01-05 05:34:00
13162,52.08,7,2024-01-10 03:22:00
13976,11.47,3,2024-01-10 16:56:00
1557,27.03,4,2024-01-02 01:57:00
11291,47.37,5,2024-01-08 20:11:00
11715,52.57,9,2024-01-09 03:15:00
14329,,9,2024-01-10 22:49:00
2456,83.35,9,2024-01-02 16:56:00
623,65.74,2,2024-01-01 10:23:00
11945,55.69,2,2024-01-09 07:05:00
6602,48.33,8,2024-01-05 14:02:00
7370,32.25,7,2024-01-06 02:50:00
5188,42.48,9,2024-01-04 14:28:00
21,45.3,1,2024-01-01 00:21:00
8737,74.63,7,2024-01-07 01:37:00
8281,52.89,7,2024-01-06 18:01:00
3274,,6,2024-01-03 06:34:00
6655,39.27,6,2024-01-05 14:55:00
5227,33.43,8,2024-01-04 15:07:00
10859,38.68,5,2024-01-08 12:59:00
13681,56.52,2,2024-01-10 12:01:00
10093,64.29,5,2024-01-08 00:13:00
10750,71.3,9,2024-01-08 11:10:00
2889,16.07,8,2024-01-03 00:09:00
6262,66.47,6,2024-01-05 08:22:00
662,41.22,7,2024-01-01 11:02:00
4546,59.4,7,2024-01-04 03:46:00
2551,47.61,2,2024-01-02 18:31:00
5787,96.32,9,2024-01-05 00:27:00
14760,61.02,1,2024-01-11 06:00:00
7247,52.76,8,2024-01-06 00:47:00
1184,48.36,9,2024-01-01 19:44:00
8355,53.3,7,2024-01-06 19:15:00
